venta_id,fecha,producto_id,cantidad
1,2026-01-03,101,1
2,2026-01-05,201,2
3,2026-01-08,202,3
4,2026-01-12,105,1
5,2026-01-15,203,2
6,2026-01-21,204,1
7,2026-01-25,201,1
8,2026-02-02,102,1
9,2026-02-04,206,2
10,2026-02-07,202,1
11,2026-02-10,103,1
12,2026-02-14,205,2
13,2026-02-18,201,2
14,2026-02-22,204,1
15,2026-02-27,203,1
16,2026-03-01,104,1
17,2026-03-04,201,3
18,2026-03-06,202,2
19,2026-03-09,106,1
20,2026-03-13,203,2
21,2026-03-16,205,1
22,2026-03-20,201,1
23,2026-03-23,206,1
24,2026-03-26,105,2
25,2026-04-02,103,1
26,2026-04-04,201,2
27,2026-04-07,204,2
28,2026-04-10,202,2
29,2026-04-12,203,1
30,2026-04-14,102,1
31,2026-04-18,205,3
32,2026-04-21,206,1
33,2026-04-25,201,2
34,2026-04-28,104,1
35,2026-05-02,101,1
36,2026-05-04,202,4
37,2026-05-06,203,2
38,2026-05-08,105,1
39,2026-05-10,201,2
40,2026-05-12,204,1
41,2026-05-14,206,2
42,2026-05-16,205,2
43,2026-05-18,102,1
44,2026-05-20,103,1
45,2026-06-02,201,3
46,2026-06-04,202,2
47,2026-06-06,203,1
48,2026-06-08,204,2
49,2026-06-10,205,2
50,2026-06-12,106,1
51,2026-06-14,101,1
52,2026-06-16,206,1
53,2026-06-18,105,2
54,2026-06-20,201,2
55,2026-07-02,102,1
56,2026-07-04,203,2
57,2026-07-06,202,3
58,2026-07-08,204,1
59,2026-07-10,205,1
60,2026-07-12,201,2
